episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
55,20075,100.7,-5800048.573887807,-7689846.086630806,0.8106560815087058,79999.13097000122,1454859.9008789062,799991.3087005615,177970.0,2642921.779006958,724305.5876998901,5800048.576286316,0.8419678940584785,0.002522226300722028,0.025223849145205396,0.07033996038923138,0.7652801871299744,,0.018092000000000004,-3527554.2722465727,2373207.009737134,0.7681493460773011,
56,20440,101.2,-5536254.233177909,-7502669.060443049,0.8163118755345793,78717.34148216248,1435949.2614746094,787173.4195251465,181435.0,2520316.2419433594,611380.3261604309,5536254.249103546,0.8419678940584785,0.002522226300722028,0.025223849145205396,0.07033996038923138,0.7652801871299744,,0.018092000000000004,-3527554.2722465727,2373207.009737134,0.7681493460773011,
57,20805,105.5,-6349645.322949073,-7405164.824567561,0.6383974044186733,102068.47984695435,1654283.5515136719,1020684.7999267578,154710.0,2059672.9491996765,1460294.024307251,6349645.324947357,0.90300279306738,0.0028134819462330165,0.02485281960597556,0.055118480795308164,0.7286775708198547,,0.017984,-3527554.2722465727,2373207.009737134,0.7681493460773011,
58,21170,106.1,-6337485.719550177,-7232736.452918416,0.6052599427004426,103959.13623046875,1680850.8273925781,1039591.3620605469,154685.0,1951989.1403503418,1510369.392589569,6337485.722393036,0.90300279306738,0.0028134819462330165,0.02485281960597556,0.055118480795308164,0.7286775708198547,,0.017984,-3527554.2722465727,2373207.009737134,0.7681493460773011,
59,21535,110.3,-5558127.536785538,-7016523.604990086,0.835137076791563,70765.7611579895,1433685.3090820312,707657.6126251221,181870.0,2712759.558022499,522155.0522155762,5558127.531945229,0.807352574248063,0.00243609290498027,0.01827387224980875,0.08043766021728516,0.8107345104217529,,0.017912000000000004,-3527554.2722465727,2373207.009737134,0.7681493460773011,
60,21900,110.9,-5804960.591059639,-6855327.582785149,0.7759439210763804,79176.93717002869,1542167.6130371094,791769.372756958,150320.0,2515839.219055176,804864.3916625977,5804960.596511841,0.807352574248063,0.00243609290498027,0.01827387224980875,0.08043766021728516,0.8107345104217529,,0.017912000000000004,-3527554.2722465727,2373207.009737134,0.7681493460773011,
61,22265,111.5,-5674710.271663065,-6689009.568015147,0.7785874944829365,76850.2879524231,1549318.2849121094,768502.8819274902,149870.0,2436331.9259033203,770687.1790924072,5674710.271835327,0.807352574248063,0.00243609290498027,0.01827387224980875,0.08043766021728516,0.8107345104217529,,0.017912000000000004,-3527554.2722465727,2373207.009737134,0.7681493460773011,
62,22630,115.7,-5542193.60581887,-6506796.663445452,0.8437659322884901,66901.77130508423,1430050.6696777344,669017.7071685791,178345.0,2828888.0233459473,435892.2014770508,5542193.6016693115,0.7750940511101171,0.002480486543582198,0.01949377226839332,0.048524740985349604,0.7924059629440308,,0.017804,-3527554.2722465727,2373207.009737134,0.7681493460773011,
63,22995,116.2,-5539575.699944496,-6345922.679877347,0.8495668101647764,66435.96006011963,1410589.6760253906,664359.5992736816,179325.0,2884484.837036133,400816.5885772705,5539575.700912476,0.7750940511101171,0.002480486543582198,0.01949377226839332,0.048524740985349604,0.7924059629440308,,0.017804,-3527554.2722465727,2373207.009737134,0.7681493460773011,
64,23360,116.7,-5501640.536739303,-6307267.500927223,0.7385451737865425,77197.4134426117,1611742.8444824219,771974.1368713379,144935.0,2108346.1515045166,864642.3980026245,5501640.530860901,0.7750940511101171,0.002480486543582198,0.01949377226839332,0.048524740985349604,0.7924059629440308,,0.017804,-3527554.2722465727,2373207.009737134,0.7681493460773011,
