episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_fill
73,26645,68.1,-1690381.858632379,-1820059.5424860392,0.8981687400439015,66202.73041248322,996083.2366943359,41438.04876327515,129810.0,175378.91440486908,347671.6598739624,1690381.8597364426,0.5805589235142657,0.0014438780780868623,0.0070401911193345625,0.00920377359235365,0.9863876700401306,,0.018704000000000005,-2553729.0883914502,0.6562341990536207
74,27010,68.7,-1692372.5913235624,-1806899.9815298803,0.8927487358655015,62676.76169395447,1010949.8160400391,40227.67352390289,129960.0,181686.84993556142,329548.2537574768,1692372.5932569802,0.5805589235142657,0.0014438780780868623,0.0070401911193345625,0.00920377359235365,0.9863876700401306,,0.018704000000000005,-2553729.0883914502,0.6562341990536207
75,27375,70.5,-1853517.5914303327,-1802060.8622370556,0.8427612853376832,81688.08437347412,1010429.7921142578,52852.938861846924,161395.0,185658.03483510017,443181.8320617676,1853517.5978729725,0.5805589235142657,0.0014438780780868623,0.0070401911193345625,0.00920377359235365,0.9863876700401306,,0.018704000000000005,-1597212.3428273692,0.807975776963038
76,27740,71.8,-1623355.7933718583,-1787306.4500733186,0.8718744624150943,60182.49505519867,1005684.8856201172,41926.03209209442,141270.0,160638.89829671383,273835.9761352539,1623355.7921441793,0.5687419395697745,0.0010536676489113904,0.00622692443798051,0.008497313106138455,0.9871864914894104,,0.01865,-1597212.3428273692,0.807975776963038
77,28105,72.5,-1614923.3869481331,-1771304.058681059,0.8745214050763274,59785.37519073486,1006711.5334472656,41509.15755653381,141180.0,162594.8669846058,262927.8238372803,1614923.3818256855,0.5687419395697745,0.0010536676489113904,0.00622692443798051,0.008497313106138455,0.9871864914894104,,0.01865,-1597212.3428273692,0.807975776963038
78,28470,73.2,-1621902.4840203484,-1756584.9554991822,0.9101134132032525,57833.045150756836,1051554.7512207031,36718.21478843689,119305.0,126076.715264678,288247.8027496338,1621902.4840234518,0.5687419395697745,0.0010536676489113904,0.00622692443798051,0.008497313106138455,0.9871864914894104,,0.01865,-1597212.3428273692,0.807975776963038
79,28835,74.5,-1706918.1747581458,-1748266.6221910832,0.937392835421105,41352.334928035736,1270223.9782714844,26947.08264684677,95125.0,66725.49203658104,247896.60736846924,1706918.1603233814,0.47998498968387904,0.0012691703872118715,0.008831358802700905,0.007086123002840108,0.9887115955352783,,0.018596,-1597212.3428273692,0.807975776963038
80,29200,75.1,-1759081.526359279,-1743952.7906207838,0.8547557948386832,82308.84427261353,971534.197265625,53112.50997924805,151995.0,171366.54945361614,411073.2735443115,1759081.5302428007,0.47998498968387904,0.0012691703872118715,0.008831358802700905,0.007086123002840108,0.9887115955352783,,0.018596,-1597212.3428273692,0.807975776963038
81,29565,75.8,-1675605.750827422,-1736396.4258593277,0.9210399518274281,53496.56975841522,1101631.5811767578,33700.36415195465,106290.0,115157.81083582342,318825.9930648804,1675605.7492294163,0.47998498968387904,0.0012691703872118715,0.008831358802700905,0.007086123002840108,0.9887115955352783,,0.018596,-1597212.3428273692,0.807975776963038
82,29930,77.1,-1626771.394464885,-1725914.0545438877,0.9314862661165734,44546.61756372452,1173405.782836914,28575.770376443863,95580.0,75533.65229249,253676.19371795654,1626771.3992238045,0.4467216247790738,0.001522891510352278,0.010242127549932584,0.0072831394653277174,0.9885092377662659,,0.018542000000000003,-1597212.3428273692,0.807975776963038
